,Allergen,Total_Shipped,Ratio_Shipped,Ratio_Unique_Products,Ratio_Sales
0,NUT,167.0,0.0001,0.0045,0.0008
1,TREE NUT,10512.0,0.0059,0.0045,0.0043
2,FILBERT,10512.0,0.0059,0.0045,0.0043
3,SOYBEAN,315574.0,0.1768,0.2682,0.1366
4,WALNUT,33209.0,0.0186,0.0364,0.0174
5,ALMOND,19168.0,0.0107,0.0136,0.0089
6,FISH,106463.0,0.0596,0.0409,0.0513
7,MILK,1710481.0,0.9581,0.8682,0.9472
8,WHEAT,776353.0,0.4349,0.5409,0.3533
9,EGGS,1411028.0,0.7904,0.5182,0.8083
10,CASHEW,4434.0,0.0025,0.0136,0.0025
11,SESAME,13787.0,0.0077,0.0045,0.0077
12,PEANUT,31164.0,0.0175,0.0364,0.0176
13,PINE NUT,9861.0,0.0055,0.0182,0.0071
